,Date,StationaryTestID,IMEI,EARFCN,ULSpeed,DLSpeed,PingSpeed,PULColor,PDLColor,PINGColor,MOColor,MTColor,Pingtime,ultime,dltime,motime,Latitude,Longitude,sector_id,unique_id,site,rsrp,rsrq,sinr,pci,SINRColor,RSRPColor,RSRQColor
0,20171107,Pacific_Nayarit_20171107_142118,3.57536E+14,2435,11.29,23.91,73.1,GREEN,GREEN,RED,GREEN,GREEN,84,189,231,119,20.7807054,-105.4997587,24353NAYBAH2434,HPTV0003,NAYBAH2434,-83,-7,25,353,GREEN,GREEN,GREEN
1,20171107,Pacific_Jalisco_20171107_141758,3.533E+14,2435,11.85,27.24,83.2,GREEN,GREEN,RED,GREEN,GREEN,85,189,219,113,20.6344056,-105.2262716,24352JALPVA0846,JAL5012,JALPVA0846,-78,-7,26,404,GREEN,GREEN,GREEN
2,20171107,CdDeMexico_CdDeMexico_20171107_141056,3.51881E+14,2250,26.75,27.4,92.1,GREEN,RED,RED,GREEN,GREEN,84,189,213,119,19.6376446,-98.9817923,22503MEXECA1044,MEXECA1044,MEXECA1044,-85,-8,15,68,RED,GREEN,GREEN
3,20171107,Pacific_Jalisco_20171107_140145,3.533E+14,2435,8.95,16.2,88.7,GREEN,GREEN,RED,GREEN,GREEN,85,188,214,106,20.6354802,-105.2294631,24353JALPVA0846,JAL5012,JALPVA0846,-78,-9,19,34,YELLOW,GREEN,GREEN
4,20171107,DF_Hidalgo_20171107_140034,3.51881E+14,2435,9.62,14.44,74.9,GREEN,GREEN,RED,GREEN,GREEN,83,186,213,103,20.0738681,-99.3643667,24351HIDTUL0143,HID9048,HIDTUL0143,-89,-8,5,207,RED,YELLOW,GREEN
5,20171107,Pacific_Nayarit_20171107_134715,3.57536E+14,2435,9.76,24.44,76.1,GREEN,GREEN,RED,GREEN,GREEN,84,189,239,120,20.7775517,-105.5047104,24351NAYBAH2434,HPTV0003,NAYBAH2434,-73,-7,28,352,GREEN,GREEN,GREEN
6,20171107,CdDeMexico_CdDeMexico_20171107_134336,3.51881E+14,2250,30,28.59,106,GREEN,RED,RED,GREEN,GREEN,84,188,214,119,19.6383059,-98.9810963,22501MEXECA1044,MEXECA1044,MEXECA1044,-81,-11,15,66,RED,GREEN,YELLOW
7,20171107,Pacific_Nayarit_20171107_133728,3.533E+14,2435,10.59,22.16,76.6,GREEN,GREEN,RED,GREEN,GREEN,84,187,211,118,20.7579681,-105.3398302,24353NAYBAH1246,JAL5144,NAYBAH1246,-76,-7,25,230,GREEN,GREEN,GREEN
8,20171107,Gulf_VeracruzdeIgnaciodelaLlave_20171107_133147,3.51881E+14,2435,11.93,21.63,69.4,GREEN,GREEN,RED,GREEN,GREEN,83,178,210,100,19.142744,-96.1419466,24351VERVER0685,VER7130,VERVER0685,-79,-7,29,123,GREEN,GREEN,GREEN
9,20171107,CdDeMexico_CdDeMexico_20171107_132242,3.51881E+14,2250,41.11,31.89,103,GREEN,YELLOW,RED,GREEN,GREEN,84,188,198,118,19.6378631,-98.9795687,22502MEXECA1044,MEXECA1044,MEXECA1044,-65,-11,23,67,GREEN,GREEN,YELLOW
10,20171107,Pacific_Nayarit_20171107_131834,3.533E+14,2435,11.93,27.5,71.2,GREEN,GREEN,RED,GREEN,GREEN,84,188,207,118,20.7586525,-105.3403139,24352NAYBAH1246,JAL5144,NAYBAH1246,-69,-6,30,229,GREEN,GREEN,GREEN
11,20171107,Pacific_Nayarit_20171107_131737,3.57536E+14,2435,11.55,28.27,84.2,GREEN,GREEN,RED,GREEN,GREEN,84,190,235,119,20.7742127,-105.502371,24352NAYBAH2434,HPTV0003,NAYBAH2434,-75,-6,30,351,GREEN,GREEN,GREEN
12,20171107,Gulf_VeracruzdeIgnaciodelaLlave_20171107_131503,3.51881E+14,2435,9.84,29.01,67.8,GREEN,GREEN,RED,GREEN,GREEN,84,188,216,100,19.1426576,-96.1418893,24352VERVER0685,VER7130,VERVER0685,-61,-6,30,124,GREEN,GREEN,GREEN
13,20171107,Pacific_Jalisco_20171107_131135,3.53683E+14,2435,14.65,21.64,77.9,GREEN,GREEN,RED,GREEN,GREEN,83,186,209,119,20.6705495,-105.2122799,24353JALPVA0831,HPTV0002,JALPVA0831,-64,-6,24,22,GREEN,GREEN,GREEN
14,20171107,Pacific_Nayarit_20171107_130244,3.533E+14,2435,11.17,15.28,70.1,GREEN,GREEN,RED,GREEN,GREEN,85,186,208,119,20.7587373,-105.3403574,24352NAYBAH1246,JAL5144,NAYBAH1246,-74,-10,15,229,RED,GREEN,GREEN
15,20171107,Gulf_VeracruzdeIgnaciodelaLlave_20171107_130016,3.51881E+14,2435,0,29.84,66.4,RED,GREEN,RED,GREEN,GREEN,148,116,97,101,19.1428069,-96.1418161,24352VERVER0685,VER7130,VERVER0685,-69,-8,29,124,GREEN,GREEN,GREEN
16,20171107,Gulf_Tlaxcala_20171107_125836,3.57536E+14,2250,26.84,24.2,104,GREEN,RED,RED,GREEN,GREEN,86,188,211,120,19.1687036,-98.2306433,22503LPUE8126,TLAX7016,LPUE8126,-68,-8,18,392,YELLOW,GREEN,GREEN
17,20171107,Gulf_Tlaxcala_20171107_125835,3.53683E+14,2250,24.41,11.35,96,YELLOW,RED,RED,GREEN,GREEN,84,188,210,119,19.168806,-98.2306664,22503LPUE8126,TLAX7016,LPUE8126,-67,-7,19,392,YELLOW,GREEN,GREEN
18,20171107,Pacific_Jalisco_20171107_125633,3.53683E+14,2435,12.06,25.78,83.5,GREEN,GREEN,RED,GREEN,GREEN,83,185,209,99,20.6706424,-105.2084048,24351JALPVA0831,HPTV0002,JALPVA0831,-64,-6,30,21,GREEN,GREEN,GREEN
19,20171107,DF_HWBatch7NEXIUS_20171107_124933,3.53682E+14,2250,50.7,10.97,74,GREEN,RED,RED,GREEN,GREEN,88,185,178,118,18.9638595,-99.6415021,22502LTEN0005,TOL9002,LTEN0005,-86,-8,15,183,RED,YELLOW,GREEN
20,20171107,Pacific_Nayarit_20171107_124450,3.533E+14,2435,11.96,20.9,82.9,GREEN,GREEN,RED,GREEN,GREEN,84,189,216,118,20.7588493,-105.3391314,24351NAYBAH1246,JAL5144,NAYBAH1246,-58,-9,30,228,GREEN,GREEN,GREEN
21,20171107,Gulf_VeracruzdeIgnaciodelaLlave_20171107_124111,3.51881E+14,2435,0,26.96,65.8,RED,GREEN,RED,GREEN,GREEN,87,110,85,98,19.1418555,-96.1382717,24352VERVER0685,VER7130,VERVER0685,-70,-7,29,124,GREEN,GREEN,GREEN
22,20171107,DF_HWBatch7NEXIUS_20171107_124012,3.533E+14,2250,49.45,32.03,98.9,GREEN,YELLOW,RED,GREEN,GREEN,86,187,170,102,18.963963,-99.641587,22502LTEN0005,TOL9002,LTEN0005,-83,-8,11,183,RED,GREEN,GREEN
23,20171107,Pacific_Jalisco_20171107_123917,3.53683E+14,2435,10.31,26.39,85.4,GREEN,GREEN,RED,GREEN,GREEN,85,187,211,110,20.6678057,-105.2113859,24352JALPVA0831,HPTV0002,JALPVA0831,-68,-7,27,23,GREEN,GREEN,GREEN
24,20171107,Pacific_Nayarit_20171107_123648,3.53683E+14,2435,7.63,13.91,97.4,YELLOW,GREEN,RED,GREEN,GREEN,87,187,211,118,21.4955014,-104.8661036,24352NAYTPI1279,NAY5009,NAYTPI1279,-76,-7,21,118,GREEN,GREEN,GREEN
25,20171107,Gulf_VeracruzdeIgnaciodelaLlave_20171107_123210,3.53682E+14,2435,12.89,22.31,78.9,GREEN,GREEN,RED,GREEN,GREEN,84,189,230,120,19.1874002,-96.1742185,24353VERVER0659,HVER0008,VERVER0659,-70,-7,29,60,GREEN,GREEN,GREEN
26,20171107,DF_HWBatch7NEXIUS_20171107_121303,3.533E+14,2250,25.54,14.28,77.2,GREEN,RED,RED,GREEN,GREEN,85,185,218,102,18.9648352,-99.64208,22503LTEN0005,TOL9002,LTEN0005,-77,-7,21,185,GREEN,GREEN,GREEN
27,20171107,DF_HWBatch7NEXIUS_20171107_121303,3.53682E+14,2250,28.09,19.16,65.9,GREEN,RED,RED,GREEN,GREEN,84,185,208,113,18.9648527,-99.6419966,22503LTEN0005,TOL9002,LTEN0005,-80,-7,28,185,GREEN,GREEN,GREEN
28,20171107,Pacific_HWAcaponetaTepic_20171107_120944,3.53682E+14,2250,34.54,25.94,71.3,GREEN,RED,RED,GREEN,GREEN,85,187,212,118,21.5643092,-104.961788,22501LTEP0034,NAY5017,LTEP0034,-82,-8,4,247,RED,GREEN,GREEN
29,20171107,Pacific_HWAcaponetaTepic_20171107_120936,3.53682E+14,2250,48.05,17.9,72.3,GREEN,RED,RED,GREEN,GREEN,83,189,226,119,21.5643156,-104.9617103,22501LTEP0034,NAY5017,LTEP0034,-86,-8,5,247,RED,YELLOW,GREEN
30,20171107,Pacific_Nayarit_20171107_120631,3.53683E+14,2435,38.86,15.17,75.3,GREEN,GREEN,RED,GREEN,GREEN,84,189,235,120,21.5048701,-104.8694694,24351NAYTPI1279,NAY5009,NAYTPI1279,-71,-7,19,119,YELLOW,GREEN,GREEN
