,Date,StationaryTestID2,IMEI,Pingtime,ultime,dltime,motime,mttime,totaltime
0,20170714,DF_HWArcoNorte_20170714_091608,353300068466611,84.0,187,214.0,119.0,7,611.0
1,20170714,DF_HWArcoNorte_20170714_091609,353682060324843,84.0,187,209.0,115.0,7,602.0
2,20170714,DF_HWArcoNorte_20170714_084937,353300068466611,83.0,188,208.0,119.0,7,605.0
3,20170714,DF_HWArcoNorte_20170714_084903,353682060324843,84.0,188,206.0,106.0,7,591.0
4,20170714,DF_HWArcoNorte_20170714_073721,353682060324843,86.0,188,209.0,119.0,7,609.0
5,20170714,DF_HWArcoNorte_20170714_073723,353300068466611,83.0,187,210.0,118.0,7,605.0
6,20170714,DF_Toluca_20170714_054249,353300068466611,88.0,186,208.0,104.0,7,593.0
7,20170714,DF_Toluca_20170714_053036,353682060324843,85.0,189,165.0,109.0,7,555.0
8,20170714,DF_Toluca_20170714_050614,353682060324843,85.0,188,210.0,120.0,7,610.0
9,20170714,DF_Toluca_20170714_050548,353300068466611,84.0,187,210.0,103.0,7,591.0
10,20170714,DF_Toluca_20170714_043842,353300068466611,83.0,188,169.0,118.0,7,565.0
11,20170714,DF_Toluca_20170714_043339,353682060324843,86.0,188,172.0,103.0,7,556.0
12,20170713,Gulf_Puebla_20170713_201821,353683060835549,146.0,187,165.0,120.0,7,625.0
13,20170713,Pacific_Guadalajara_20170713_193206,351881062706021,251.0,353,381.0,265.0,7,1257.0
14,20170713,Gulf_Puebla_20170713_191918,353683060835549,147.0,185,169.0,119.0,7,627.0
15,20170713,Pacific_Guadalajara_20170713_185150,351881069432092,84.0,187,165.0,117.0,7,560.0
16,20170713,Pacific_Guadalajara_20170713_173923,353300066502300,82.0,183,200.0,101.0,7,573.0
17,20170713,Pacific_Guadalajara_20170713_170753,353300066502300,82.0,183,213.0,95.0,7,580.0
18,20170713,Pacific_Guadalajara_20170713_165723,351881069432092,84.0,187,208.0,118.0,7,604.0
19,20170713,North_Monterrey_20170713_165728,353682061388102,83.0,188,168.0,118.0,7,564.0
20,20170713,Pacific_Guadalajara_20170713_164147,353300066502300,82.0,183,181.0,95.0,7,548.0
21,20170713,North_Monterrey_20170713_161359,353682061388102,84.0,188,188.0,119.0,7,586.0
22,20170713,North_Monterrey_20170713_155111,353682061388102,84.0,187,163.0,90.0,7,531.0
23,20170713,Pacific_Celaya_20170713_150702,353300064377390,85.0,188,228.0,143.0,7,651.0
24,20170713,Pacific_Celaya_20170713_145233,351881065618595,85.0,186,229.0,119.0,7,626.0
25,20170713,Pacific_Celaya_20170713_141201,351881065618595,84.0,187,221.0,98.0,7,597.0
26,20170713,Pacific_Celaya_20170713_141200,353300064377390,84.0,188,231.0,96.0,7,606.0
27,20170713,Pacific_Celaya_20170713_134544,353300064377390,85.0,187,231.0,119.0,7,629.0
28,20170713,Pacific_Celaya_20170713_133118,351881065618595,86.0,189,190.0,114.0,7,586.0
29,20170713,Pacific_Guadalajara_20170713_123427,351881069432092,83.0,188,215.0,118.0,7,611.0
30,20170713,Pacific_Guadalajara_20170713_123400,353300069044482,83.0,188,209.0,117.0,7,604.0
31,20170713,DF_CdDeMexico_20170713_042535,351881066090638,83.0,189,203.0,119.0,7,601.0
32,20170713,DF_CdDeMexico_20170713_042428,353682062749146,84.0,182,209.0,118.0,7,600.0
33,20170713,DF_CdDeMexico_20170713_033110,353682062749146,84.0,188,204.0,119.0,7,602.0
34,20170713,DF_CdDeMexico_20170713_031653,351881066090638,83.0,192,210.0,119.0,7,611.0
35,20170713,DF_CdDeMexico_20170713_031653,353682062749146,83.0,103,87.0,118.0,7,398.0
36,20170713,DF_CdDeMexico_20170713_024813,351881066090638,84.0,188,200.0,120.0,7,599.0
37,20170713,DF_CdDeMexico_20170713_023507,353682062749146,85.0,188,208.0,119.0,7,607.0
38,20170713,DF_CdDeMexico_20170713_023545,351881066090638,84.0,190,210.0,89.0,7,580.0
39,20170712,Peninsula_HWVillahermosaCddelCarmen_20170712_173102,351881063090979,86.0,185,206.0,98.0,7,582.0
40,20170712,Peninsula_HWVillahermosaCddelCarmen_20170712_172213,353300064111724,84.0,186,179.0,101.0,7,557.0
41,20170712,Pacific_Aguscalientes_20170712_170922,351881065618595,88.0,188,195.0,120.0,7,598.0
42,20170712,Peninsula_HWVillahermosaCddelCarmen_20170712_161341,351881063090979,84.0,185,207.0,99.0,7,582.0
43,20170712,Peninsula_HWVillahermosaCddelCarmen_20170712_161230,353300064111724,84.0,189,202.0,98.0,7,580.0
44,20170712,Peninsula_HWVillahermosaCddelCarmen_20170712_152802,351881063090979,84.0,185,206.0,119.0,7,601.0
45,20170712,Peninsula_HWVillahermosaCddelCarmen_20170712_151819,353300064111724,108.0,186,190.0,107.0,7,598.0
46,20170712,Peninsula_HWVillahermosaCddelCarmen_20170712_151745,351881063090979,87.0,65,119.0,101.0,7,379.0
47,20170712,Pacific_HWAguascalientesZacatecas_20170712_124822,351881065618595,85.0,185,213.0,99.0,7,589.0
48,20170712,Pacific_HWAguascalientesZacatecas_20170712_124822,353300064377390,84.0,185,216.0,96.0,7,588.0
49,20170712,Pacific_HWAguascalientesZacatecas_20170712_121432,353300064377390,84.0,187,190.0,119.0,7,587.0
50,20170712,null_null_20170712_121500,351881061247597,,279,,,7,
51,20170712,Pacific_HWAguascalientesZacatecas_20170712_120947,351881065618595,85.0,188,213.0,107.0,7,600.0
52,20170712,Dallas_Dallas_20170712_102551,351881061247597,,67,,,7,
53,20170711,Gulf_Zihuatanejo_20170711_134232,353682060324843,85.0,186,171.0,118.0,7,567.0
54,20170711,Gulf_Zihuatanejo_20170711_134109,353300068466611,84.0,187,174.0,105.0,7,557.0
55,20170711,2_DALLAS_20170711_130444,351881061247597,157.0,64,120.0,104.0,7,452.0
56,20170711,Gulf_Zihuatanejo_20170711_125801,353682060324843,84.0,186,189.0,118.0,7,584.0
57,20170711,Gulf_Zihuatanejo_20170711_125350,353300068466611,83.0,186,206.0,104.0,7,586.0
58,20170711,Gulf_Zihuatanejo_20170711_122359,353682060324843,84.0,188,164.0,119.0,7,562.0
59,20170711,Gulf_Zihuatanejo_20170711_121857,353300068466611,83.0,186,175.0,104.0,7,555.0
60,20170711,2_DALLAS_20170711_120043,351881061247597,84.0,64,84.0,105.0,7,344.0
61,20170711,2_DALLAS_20170711_113631,351881061247597,84.0,64,85.0,105.0,7,345.0
62,20170711,2_DALLAS_20170711_105809,351881061247597,84.0,64,84.0,92.0,7,331.0
63,20170711,null_null_20170711_103002,353682061652523,83.0,188,208.0,119.0,7,605.0
